TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo,NomeBanco
3,416968,201903,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],5958110966.61,Banco Inter
3,416968,201903,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],3541533746.08,Banco Inter
3,416968,201903,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],5010025728.74,Banco Inter
3,416968,201903,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],4470655466.94,Banco Inter
3,416968,201903,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],948085237.87,Banco Inter
3,416968,201903,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],12074941.9300001,Banco Inter
3,33923798,201903,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],3105915870.72,Banco Master
3,33923798,201903,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],882182811.06,Banco Master
3,33923798,201903,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],2942417792.27,Banco Master
3,33923798,201903,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],2621751178.66,Banco Master
3,33923798,201903,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],163498078.45,Banco Master
3,33923798,201903,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],602625.530000009,Banco Master
3,62144175,201903,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],9556932204.64,Banco Pine
3,62144175,201903,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],3191408647.95,Banco Pine
3,62144175,201903,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],8726770530.07,Banco Pine
3,62144175,201903,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],7126092642.59,Banco Pine
3,62144175,201903,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],830161674.57,Banco Pine
3,62144175,201903,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],-40745905.8199997,Banco Pine
