NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,"Ajuste a Valor Justo 
(e4)","Ajuste a Valor Justo 
(g4)","Aplicações Interfinanceiras de Liquidez 
(b)","Arrendamento Mercantil Líquido de Provisão 
(e)","Arrendamento Mercantil a Receber 
(e1)","Ativo Permanente 
(j)","Ativo Total 
(k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j)","Ativo Total 
(k) = (i) - (j)","Ativo Total Ajustado 
(i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h)","Credores por Antecipação de Valor Residual 
(e3)","Credores por Antecipação de Valor Residual 
(j)","Disponibilidades 
(a)","Hedge de Valor Justo 
(e3)","Hedge de Valor Justo 
(f3)","Hedge de Valor Justo 
(g3)","Imobilizado de Arrendamento 
(e2)",Instrumentos Derivativos (d),"Operações de Arrendamento Financeiro 
(f)","Operações de Crédito 
(d1)","Operações de Crédito 
(e)","Operações de Crédito Líquidas de Provisão 
(d)","Outras Operações com Características de Concessão de Crédito 
(g)","Outros Ativos Realizáveis 
(g)","Outros Ativos Realizáveis 
(i)","Outros Créditos - Líquido de Provisão 
(f)","Perda Esperada 
(e2)","Perda Esperada 
(f2)","Perda Esperada 
(g2)","Perda Esperada 
(h2)","Permanente Ajustado 
(h)","Provisão sobre Arrendamento Mercantil 
(e4)","Provisão sobre Operações de Crédito 
(d2)","TVM e Instrumentos Financeiros Derivativos 
(c)","Títulos e Valores Mobiliários 
(c)","Valor Contábil Bruto 
(e1)","Valor Contábil Bruto 
(f1)","Valor Contábil Bruto 
(g1)","Valor Contábil Bruto 
(h1)","Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) 
(h)"
Banco Daycoval,62232889,201903,2019-03-01,2019,1,2019Q1,,,5170419900.7,0.0,0.0,,,28284556643.83,28284556643.83,0.0,0.0,158011648.29,,,,0.0,,,13299202472.74,,12313587833.5,,192087000.87,,7265527564.48,,,,,1403461190.46,0.0,-985614639.24,1781461505.53,,,,,,
Banco Daycoval,62232889,201906,2019-06-01,2019,2,2019Q2,,,5960842325.04,0.0,0.0,,,29944505233.74,29944505233.74,0.0,0.0,185775548.42,,,,0.0,,,13785964346.35,,12679595434.22,,182021165.17,,7763794033.58,,,,,1427250798.36,0.0,-1106368912.13,1745225928.95,,,,,,
Banco Daycoval,62232889,201909,2019-09-01,2019,3,2019Q3,,,5151224048.56,0.0,0.0,,,31016244721.34,31016244721.34,0.0,0.0,259741050.87,,,,0.0,,,14697522147.65,,13631310150.7,,177913658.01,,8645869046.48,,,,,1465376177.03,0.0,-1066211996.95,1684810589.69,,,,,,
Banco Daycoval,62232889,201912,2019-12-01,2019,4,2019Q4,,,5454213389.23,0.0,0.0,,,34225839371.64,34225839371.64,0.0,0.0,356330139.56,,,,0.0,,,15935078099.97,,14866447522.67,,202572621.98,,10118801320.02,,,,,1461199072.32,0.0,-1068630577.3,1766275305.86,,,,,,
Banco Daycoval,62232889,202003,2020-03-01,2020,1,2020Q1,,,7747136390.3,0.0,0.0,,,37710950944.58,37710950944.58,0.0,0.0,292610430.25,,,,0.0,,,16667808392.06,,15461854756.23,,221031196.22,,9274353862.55,,,,,1564983623.36,0.0,-1205953635.83,3148980685.67,,,,,,
Banco Daycoval,62232889,202006,2020-06-01,2020,2,2020Q2,,,8418047242.75,0.0,0.0,,,40027038553.33,40027038553.33,0.0,0.0,216188719.6,,,,0.0,,,16776850479.3,,15533284612.38,,237976407.24,,9544787038.84,,,,,1607599657.51,0.0,-1243565866.92,4469154875.01,,,,,,
Banco Daycoval,62232889,202009,2020-09-01,2020,3,2020Q3,,,6059100022.95,0.0,0.0,,,43884575514.27,43884575514.27,0.0,0.0,240844198.69,,,,0.0,,,21534292836.18,,20219736735.15,,300874548.23,,9776185909.83,,,,,1637874920.68,0.0,-1314556101.03,5649959178.74,,,,,,
Banco Daycoval,62232889,202012,2020-12-01,2020,4,2020Q4,,,5414927959.6,0.0,0.0,,,49345624566.91,49345624566.91,0.0,0.0,341072724.24,,,,0.0,,,25340033687.96,,23965722466.88,,318470337.51,,11174081261.54,,,,,1655742921.01,0.0,-1374311221.08,6475606896.13,,,,,,
Banco Daycoval,62232889,202103,2021-03-01,2021,1,2021Q1,,,6106604149.23,0.0,0.0,,,51624167766.22,51624167766.22,0.0,0.0,246884777.49,,,,0.0,,,25448513101.62,,24065871802.32,,280238155.33,,11290843985.69,,,,,1689703359.53,0.0,-1382641299.3,7944021536.63,,,,,,
Banco Daycoval,62232889,202106,2021-06-01,2021,2,2021Q2,,,4084649351.55,0.0,0.0,,,53079993198.74,53079993198.74,0.0,0.0,272161941.72,,,,0.0,,,25681035694.4,,24267364558.21,,327713126.01,,13631826137.01,,,,,1685107978.06,0.0,-1413671136.19,8811170106.18,,,,,,
Banco Daycoval,62232889,202109,2021-09-01,2021,3,2021Q3,,,5612646032.8,0.0,0.0,,,56852456543.06,56852456543.06,0.0,0.0,300629469.49,,,,0.0,,,26261428131.48,,24795996523.69,,328283919.07,,14070286789.41,,,,,1730704042.61,0.0,-1465431607.79,10013909765.99,,,,,,
Banco Daycoval,62232889,202112,2021-12-01,2021,4,2021Q4,,,4405607082.39,0.0,0.0,,,61091617355.64,61091617355.64,0.0,0.0,309559912.91,,,,0.0,,,26447514839.0,,25036503461.7,,598269001.68,,18462496801.69,,,,,1770972978.91,0.0,-1411011377.3,10508208116.36,,,,,,
Banco Daycoval,62232889,202203,2022-03-01,2022,1,2022Q1,,,7173607698.33,0.0,0.0,,,59770802147.78,59770802147.78,0.0,0.0,643730107.14,,,,0.0,,,26198354779.12,,24762990560.07,,435521334.17,,14264343595.31,,,,,1771737668.34,0.0,-1435364219.05,10718871184.42,,,,,,
Banco Daycoval,62232889,202206,2022-06-01,2022,2,2022Q2,,,5887225959.32,0.0,0.0,,,63464216563.58,63464216563.58,0.0,0.0,487324712.71,,,,0.0,,,26733035968.86,,25268545554.39,,403540152.52,,18278367695.4,,,,,1819946126.66,0.0,-1464490414.47,11319266362.58,,,,,,
Banco Daycoval,62232889,202209,2022-09-01,2022,3,2022Q3,,,6306572597.31,0.0,0.0,,,65360208047.67,65360208047.67,0.0,0.0,462951354.98,,,,0.0,,,27816741914.39,,26357020987.96,,809208314.21,,17974367657.73,,,,,1862688839.05,0.0,-1459720926.43,11587398296.43,,,,,,
Banco Daycoval,62232889,202212,2022-12-01,2022,4,2022Q4,,,4397990848.46,0.0,0.0,,,67371937149.6,67371937149.6,0.0,0.0,827603374.8,,,,0.0,,,28795655097.73,,27522510228.73,,424623104.34,,20159177419.45,,,,,1878971368.91,0.0,-1273144869.0,12161060804.91,,,,,,
Banco Daycoval,62232889,202303,2023-03-01,2023,1,2023Q1,,,4383830525.53,0.0,0.0,,,64441146404.82,64441146404.82,0.0,0.0,459467056.26,,,,0.0,,,29188561030.34,,27894161505.31,,428394717.81,,16855730308.39,,,,,1923033073.62,0.0,-1294399525.03,12496529217.9,,,,,,
Banco Daycoval,62232889,202306,2023-06-01,2023,2,2023Q2,,,8349546409.82,0.0,0.0,,,69678097569.52,69678097569.52,0.0,0.0,390957740.55,,,,0.0,,,28939919622.43,,27607950661.08,,1067371660.28,,16964303681.78,,,,,1841407638.26,0.0,-1331968961.35,13456559777.75,,,,,,
Banco Daycoval,62232889,202309,2023-09-01,2023,3,2023Q3,,,7360954964.74,0.0,0.0,,,69762921348.01,69762921348.01,0.0,0.0,476912988.19,,,,0.0,,,29595899210.06,,28147371134.95,,1251020777.42,,15760679220.76,,,,,1919336967.75,0.0,-1448528075.11,14846645294.2,,,,,,
Banco Daycoval,62232889,202312,2023-12-01,2023,4,2023Q4,,,4422894699.7,0.0,0.0,,,74148005946.51,74148005946.51,0.0,0.0,586764607.72,,,,0.0,,,30309657837.88,,28853694362.31,,1425737228.21,,19995655320.81,,,,,1972908515.62,0.0,-1455963475.57,16890351212.14,,,,,,
Banco Daycoval,62232889,202403,2024-03-01,2024,1,2024Q1,,,6266356150.26,0.0,0.0,,,71962017448.97,71962017448.97,0.0,0.0,489743710.57,,,,0.0,,,30450445832.92,,28907339064.82,,1518409757.73,,15155218941.51,,,,,2050694447.72,0.0,-1543106768.1,17574255376.36,,,,,,
Banco Daycoval,62232889,202406,2024-06-01,2024,2,2024Q2,,,6697674804.77,0.0,0.0,,,77170502105.03,77170502105.03,0.0,0.0,527939777.72,,,,0.0,,,30166580573.06,,28602116359.15,,1781068110.36,,17105296747.13,,,,,2243594295.5,0.0,-1564464213.91,20212812010.4,,,,,,
Banco Daycoval,62232889,202409,2024-09-01,2024,3,2024Q3,,,4942603894.15,0.0,0.0,,,74179314233.45,74179314233.45,0.0,0.0,419962685.85,,,,0.0,,,29489351923.22,,27872732344.5,,2122064111.39,,14301674236.86,,,,,2485298912.74,0.0,-1616619578.72,22034978047.96,,,,,,
Banco Daycoval,62232889,202412,2024-12-01,2024,4,2024Q4,,,4182933876.69,0.0,0.0,,,85226039215.54,85226039215.54,0.0,0.0,556950124.61,,,,0.0,,,30075137192.01,,28399126005.04,,2688470568.41,,25093847768.98,,,,,2784856962.65,0.0,-1676011186.97,21519853909.16,,,,,,
Banco Daycoval,62232889,202503,2025-03-01,2025,1,2025Q1,0.0,0.0,4882722297.71,,,2997167823.98,75774111482.28,,,,,598120419.24,-399649014.62,0.0,0.0,,288951774.02,0.0,,28714994056.86,,13942921270.71,,6512708872.96,,-1701052648.4,0.0,-185370675.62,-1371645.35,,,,,17735875770.76,30815695719.88,0.0,14128291946.33,102020841.39,100649196.04
