NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,"Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez 
(a3)","Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Operações de Crédito 
(c3)","Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de TVM 
(b3)","Ajuste de Hedge de Valor Justo de Captações 
(g3)","Ajuste de Variação Cambial de Aplicações Interfinanceiras de Liquidez 
(a2)","Ajuste de Variação Cambial de Captações 
(g2)","Ajuste de Variação Cambial de Operações de Crédito 
(c2)","Ajuste de Variação Cambial de TVM 
(b2)",Ativo Total,"Despesa de Juros com Captações 
(g1)","Despesas Administrativas 
(d4)","Despesas Administrativas 
(p)","Despesas Tributárias 
(d5)","Despesas Tributárias 
(s)","Despesas de Captação 
(b1)","Despesas de Captações 
(g)","Despesas de Instrumentos de Dívida Elegíveis a Capital 
(h)","Despesas de Intermediação Financeira 
(b) = (b1) + (b2) + (b3) + (b4) + (b5)","Despesas de Juros Sobre Capital Próprio de Cooperativas 
(r)","Despesas de Obrigações por Empréstimos e Repasses 
(b2)","Despesas de Operações de Arrendamento Mercantil 
(b3)","Despesas de Pessoal 
(d3)","Despesas de Pessoal 
(o)","Imposto de Renda e Contribuição Social 
(h)","Imposto de Renda e Contribuição Social 
(y)","Juros Sobre Capital Social de Cooperativas 
(k)","Lucro Líquido 
(aa) = (x) + (y) + (z)","Lucro Líquido 
(j) = (g) + (h) + (i)","Outras Despesas 
(v)","Outras Despesas Operacionais 
(d8)","Outras Receitas 
(u)","Outras Receitas / Despesas 
(w)= (m) + (n) + (o) +  (p) + (q) + (r) + (s) + (t) + (u) + (v)","Outras Receitas Operacionais 
(d7)","Outras Receitas/Despesas  Operacionais 
(d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8)","Outras Rendas de Prestação de Serviços 
(n)","Outros Resultados com Transações de Pagamento 
(l3)","Outros Resultados de Captações 
(g4)","Outros Resultados de Intermediação Financeira 
(j)","Outros Resultados de Operações de Crédito 
(c4)","Outros Resultados de TVM 
(b4)","Participação nos Lucros 
(i)","Participações no Lucro 
(z)","Receita de Juros com Aplicações Interfinanceiras de Liquidez 
(a1)","Receita de Juros com Operações de Crédito 
(c1)","Receita de Juros com TVM 
(b1)","Receitas de Intermediação Financeira 
(a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6)","Rendas de Aplicações Compulsórias 
(a6)","Rendas de Aplicações Interfinanceiras de Liquidez 
(a)","Rendas de Arrendamento Financeiro 
(d)","Rendas de Operações com Instrumentos Financeiros Derivativos 
(a4)","Rendas de Operações com TVM 
(a3)","Rendas de Operações de Arrendamento Mercantil 
(a2)","Rendas de Operações de Crédito 
(a1)","Rendas de Operações de Crédito 
(c)","Rendas de Outras Operações com Características de Concessão de Crédito 
(e)","Rendas de Prestação de Serviços 
(d1)","Rendas de Tarifas Bancárias 
(d2)","Rendas de Tarifas Bancárias 
(m)","Rendas de Títulos e Valores Mobiliários 
(b)","Resultado Não Operacional 
(f)","Resultado Operacional 
(e) = (c) + (d)","Resultado antes da Tributação e Participações 
(x) = (k) + (l) + (w)","Resultado antes da Tributação, Lucro e Participação 
(g) = (e) + (f)","Resultado com Derivativos 
(i)","Resultado com Perda Esperada 
(f)","Resultado com Perda Esperada de Aplicações Interfinanceiras de Liquidez 
(f1)","Resultado com Perda Esperada de Arrendamento 
(f4)","Resultado com Perda Esperada de Operações de Crédito 
(f3)","Resultado com Perda Esperada de Outras Operações com Características de Concessão de Crédito
(f5)","Resultado com Perda Esperada de Outros Ativos Geradores de Renda 
(f6)","Resultado com Perda Esperada de TVM 
(f2)","Resultado com Perdas Esperadas de Outras Operações 
(q)","Resultado com Serviços por Transações de Pagamento 
(l1)","Resultado com Transações de Pagamento 
(l)","Resultado de Intermediação Financeira 
(c) = (a) + (b)","Resultado de Intermediação Financeira 
(k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j)","Resultado de Operações de Câmbio 
(a5)","Resultado de Operações de Câmbio 
(b4)","Resultado de Participações 
(d6)","Resultado de Participações 
(t)","Resultado de Provisão para Créditos de Difícil Liquidação 
(b5)","Resultados de Perda Esperada com Transações de Pagamento 
(l2)"
Banco Daycoval,62232889,201903,2019-03-01,2019,1,2019Q1,,,,,,,,,,,-128415822.23,,-32288347.69,,-285575605.12,,,-442221672.23,,-22308430.74,0.0,-82458284.93,,-89870008.87,,0.0,,215637993.91,,-72393200.5,,,97937552.66,-133193826.19,,,,,,,-19662961.77,,,,,900646485.83,0.0,,,-41516771.73,116362608.17,0.0,782907098.62,,,15948313.57,27095255.13,,,-60022.8600000003,325230987.41,,325170964.55,,,,,,,,,,,,458424813.6,,42893550.77,0.0,41380707.8,,-134337636.37,
Banco Daycoval,62232889,201906,2019-06-01,2019,2,2019Q2,,,,,,,,,,,-259872440.76,,-66762637.79,,-609835218.42,,,-953005768.33,,-20452473.88,0.0,-172034131.26,,-155233408.31,,0.0,,378747578.31,,-148175406.89,,,228331018.42,-266800083.85,,,,,,,-40196119.93,,,,,1790553951.19,0.0,,,-86405301.51,237988999.51,0.0,1556618817.74,,,31129794.74,58645824.95,,,3429007.54,570748099.01,,574177106.55,,,,,,,,,,,,837548182.86,,82351435.45,0.0,61937894.74,,-322718076.03,
Banco Daycoval,62232889,201909,2019-09-01,2019,3,2019Q3,,,,,,,,,,,-156826730.8,,-38077684.71,,-325187700.49,,,-457924493.72,,-100255670.21,0.0,-95417563.39,,-120733795.56,,0.0,,268316155.44,,-68269139.54,,,119163760.66,-147869911.23,,,,,,,-26142753.15,,,,,1022778145.67,0.0,,,2898461.03,121769258.14,0.0,826593462.09,,,20184754.06,33019464.11,,,-1791036.57,416983740.72,,415192704.15,,,,,,,,,,,,564853651.95,,71516964.41,0.0,38353228.38,,-32481123.02,
Banco Daycoval,62232889,201912,2019-12-01,2019,4,2019Q4,,,,,,,,,,,-327521435.11,,-78305159.98,,-595658785.85,,,-766943616.36,,-54547254.85,0.0,-192918620.98,,-116277049.11,,0.0,,641497906.51,,-121271046.99,,,280925848.58,-295218167.61,,,,,,,-57056589.0,,,,,1880356732.11,0.0,,,-108837159.06,204014696.99,0.0,1662916255.78,,,42545108.41,67805555.56,,,-3363403.52,818194948.14,,814831544.62,,,,,,,,,,,,1113413115.75,,122262938.4,0.0,33521582.9,,-116737575.66,
Banco Daycoval,62232889,202003,2020-03-01,2020,1,2020Q1,,,,,,,,,,,-153473977.97,,-45538857.38,,-739390348.3,,,-1775699809.75,,-829730135.75,0.0,-101365761.51,,-202147610.97,,0.0,,395879803.93,,-54717918.9,,,136060619.29,-44633644.1999999,,,,,,,-28469877.56,,,,,2449270426.77,0.0,,,1295621062.24,127084289.49,0.0,971398189.23,,,27440509.68,31512069.52,,,-2439680.36,628936972.82,,626497292.46,,,,,,,,,,,,673570617.02,,55166885.81,0.0,115449673.07,,-206579325.7,
Banco Daycoval,62232889,202006,2020-06-01,2020,2,2020Q2,,,,,,,,,,,-259327352.58,,-81270195.07,,-1075132471.66,,,-2431577327.07,,-1053250580.3,0.0,-203829415.05,,-349724260.69,,0.0,,655063022.26,,-107606590.57,,,257862141.11,-145419539.22,,,,,,,-55923995.11,,,,,3643503949.93,0.0,,,1554981364.63,211306751.99,0.0,1826304790.03,,,49945452.6,48705230.9,,,-5795805.58,1066507083.64,,1060711278.06,,,,,,,,,,,,1211926622.86,,50911043.28,0.0,150101189.44,,-303194275.11,
Banco Daycoval,62232889,202009,2020-09-01,2020,3,2020Q3,,,,,,,,,,,-132433168.86,,-44690018.29,,-308291887.23,,,-722568980.49,,-225926747.84,0.0,-110288196.23,,-172499247.69,,0.0,,288151745.67,,-184125446.33,,,85571425.7,-297853439.39,,,,,,,-29464583.13,,,,,1497905205.57,0.0,,,299086452.23,73324823.8300004,0.0,948795467.2,,,27570274.52,31395408.39,,,12632790.8,477482785.69,,490115576.49,,,,,,,,,,,,775336225.08,,176698462.31,0.0,29146281.71,,-188350345.42,
Banco Daycoval,62232889,202012,2020-12-01,2020,4,2020Q4,,,,,,,,,,,-313601140.45,,-92857742.16,,-337696776.34,,,-713845853.11,,-6694150.62,0.0,-226257276.83,,-295436972.05,,0.0,,527552580.22,,-262705485.55,,,277280754.23,-454042067.25,,,,,,,-78906315.11,,,,,2056611903.26,0.0,,,-325314224.04,118639197.19,0.0,1967023366.97,,,58036822.61,64157947.13,,,13171884.48,888723982.9,,901895867.38,,,,,,,,,,,,1342766050.15,,296263563.14,0.0,41904053.77,,-369454926.15,
Banco Daycoval,62232889,202103,2021-03-01,2021,1,2021Q1,,,,,,,,,,,-147978901.33,,-49652367.58,,-419830778.92,,,-959540605.02,,-410500094.19,0.0,-118581271.1,,-321342336.4,,0.0,,436693017.0,,-35340442.9,,,119279025.93,-139713453.96,,,,,,,-37196732.54,,,,,1894839154.41,0.0,,,754210135.01,66174476.3699999,0.0,1074454543.03,,,31981397.88,24804366.83,,,-353009.489999999,795585095.43,,795232085.94,,,,,,,,,,,,935298549.39,,0.0,-30501016.19,35774738.31,,-98708715.72,
Banco Daycoval,62232889,202106,2021-06-01,2021,2,2021Q2,,,,,,,,,,,-341814034.28,,-97154420.55,,-494903419.4,,,-754883175.62,,-7351354.19,0.0,-246652702.62,,-540833369.26,,0.0,,733337877.73,,-88246840.14,,,688773397.68,63287464.3700001,,,,,,,-74101334.04,,,,,2024790799.12,0.0,,,-404816660.42,169002133.53,0.0,2127986718.87,,,66456611.98,54351638.76,,,15077493.16,1333195087.87,,1348272581.03,,,,,,,,,,,,1269907623.5,,132618607.14,0.0,27573813.54,,-252628402.03,
