NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,Adicional de Capital Principal,"Ativos Ponderados pelo Risco (RWA) 
(i) = (f) + (g) + (h)","Ativos Ponderados pelo Risco (RWA) 
(j) = (f) + (g) + (h) + (i)","Capital Complementar 
(b)","Capital Nível II 
(d)","Capital Principal para Comparação com RWA 
(a)","Exposição Total 
(j)","Exposição Total 
(k)",IRRBB,"Patrimônio de Referência Nível I para Comparação com RWA 
(c) = (a) + (b)",Patrimônio de Referência para Comparação com o RWA,"Patrimônio de Referência para Comparação com o RWA 
(e)","RWA para Risco Operacional 
(h)","RWA para Risco de Crédito 
(f)","RWA para Risco de Mercado 
(g) = (g1) + (g2) + (g3) + (g4)","RWA para Risco de Mercado 
(g) = (g1) + (g2) + (g3) + (g4) + (g5)","RWA para Risco de Mercado 
(g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6)","RWAacs 
(g4)","RWAcam 
(g1)","RWAcom 
(g2)","RWAcva 
(g5)","RWAdrc 
(g6)","RWAjur 
(g3)","RWAsp 
(i)","Razão de Alavancagem 
(n) = (c) / (j)","Razão de Alavancagem 
(o) = (c) / (k)","Índice de Basileia 
(m) = (e) / (i)","Índice de Basileia 
(n) = (e) / (j)","Índice de Capital Nível I 
(l) = (c) / (i)","Índice de Capital Nível I 
(m) = (c) / (j)","Índice de Capital Principal 
(k) = (a) / (i)","Índice de Capital Principal 
(l) = (a) / (j)",Índice de Capital Principal (k) = (a) / (i),"Índice de Imobilização 
(o)","Índice de Imobilização 
(p)",Basileia,MargemBasileia,SemaforoBasileia
Banco Daycoval,C0081744,201903,2019-03-01,2019,1,2019Q1,,22197548435.93,,0.0,150064047.65,3406396943.71,28352262617.39,,,3406396943.71,3556460991.36,,1160267941.63,18658557127.86,2378723366.44,,,114811787.75,1441202138.93,0.0,,,822709439.76,,0.120145506186891,,0.160218638631433,,0.15345825029021,,0.15345825029021,,,0.258597855104916,,0.160218638631433,0.05021863863143301,VERDE
Banco Daycoval,C0081744,201906,2019-06-01,2019,2,2019Q2,,22935422580.32,,0.0,152881013.4,3517313102.83,30220321312.78,,,3517313102.83,3670194116.23,,1160267941.63,19686519762.4,2088634876.29,,,112306964.0,1547081194.65,0.0,,,429246717.64,,0.116389004154716,,0.160022955904865,,0.153357239898779,,0.153357239898779,,,0.252859724336129,,0.160022955904865,0.05002295590486501,VERDE
Banco Daycoval,C0081744,201909,2019-09-01,2019,3,2019Q3,,24673936723.28,,0.0,155732694.5,3736066612.3,30855135668.53,,,3736066612.3,3891799306.8,,1570878484.75,21542849849.6,1560208388.93,,,101581018.0,910068186.3,0.0,,,548559184.63,,0.1210841090584,,0.157729159738343,,0.151417532362195,,0.151417532362195,,,0.241856872869928,,0.157729159738343,0.047729159738343005,ATENCAO
Banco Daycoval,C0081744,201912,2019-12-01,2019,4,2019Q4,,27077735146.7,,0.0,158095113.8,3665355008.68,22861159430.94,,,3665355008.68,3823450122.48,,1570878484.75,24620899240.24,885957421.71,,,114596026.0,385655107.45,0.0,,,385706288.26,,0.160331107429283,,0.141202729909483,,0.135364165016833,,0.135364165016833,,,0.250043352073308,,0.141202729909483,0.031202729909482987,ATENCAO
Banco Daycoval,C0081744,202003,2020-03-01,2020,1,2020Q1,,28508320699.95,,0.0,157743262.5,3885022574.04,36405978074.45,,,3885022574.04,4042765836.54,,1579910051.0,24464532280.44,2463878368.51,,,75613674.75,1906951470.0,0.0,,,481313223.76,,0.106713863478552,,0.141810030800835,,0.136276794937515,,0.136276794937515,,,0.251390319531791,,0.141810030800835,0.03181003080083501,ATENCAO
Banco Daycoval,C0081744,202006,2020-06-01,2020,2,2020Q2,,27253247638.63,,292942003.3,159168426.66,4109239764.72,40741436851.42,,,4402181768.02,4561350194.68,,1579910051.0,24268269243.72,1405068343.91,,,85566002.5,951906503.28,0.0,,,367595838.13,,0.108051706278164,,0.167369051026951,,0.16152870389583,,0.150779819682678,,,0.226811730865707,,0.167369051026951,0.05736905102695099,VERDE
Banco Daycoval,C0081744,202009,2020-09-01,2020,3,2020Q3,,30755413773.37,,295159975.6,160164283.41,4340442619.73,44375842987.47,,,4635602595.33,4795766878.74,,2804969744.0,26756872551.08,1193571478.29,,,95356306.0,693368316.79,0.0,,,404846855.5,,0.104462299378491,,0.155932445392508,,0.150724767661679,,0.141127758895191,,,0.217664302645223,,0.155932445392508,0.045932445392508,ATENCAO
Banco Daycoval,C0081744,202012,2020-12-01,2020,4,2020Q4,,33636240654.08,,297214193.0,161085448.86,4414119056.03,49242955177.42,,,4711333249.03,4872418697.89,,2804969744.0,29635830598.13,1195440311.95,,,96683406.0,889694617.07,0.0,,,209062288.88,,0.0956752744033191,,0.144856220646019,,0.140067176278171,,0.131231046341517,,,0.215633668382191,,0.144856220646019,0.034856220646018996,ATENCAO
Banco Daycoval,C0081744,202103,2021-03-01,2021,1,2021Q1,,35375238809.27,,462217730.6,0.0,4844336747.56,51600336373.09,,,5306554478.16,5306554478.16,,2802574388.63,29554471450.85,3018192969.79,,,85207696.25,629550401.65,0.0,,,2303434871.89,,0.102839532668772,,0.150007594486385,,0.150007594486385,,0.136941457093162,,,0.197671667417559,,0.150007594486385,0.04000759448638501,ATENCAO
Banco Daycoval,C0081744,202106,2021-06-01,2021,2,2021Q2,,40293388334.28,,459594728.57,0.0,5140697903.64,54874600621.02,,,5600292632.21,5600292632.21,,2802574388.63,32920940382.75,4569873562.9,,,77376258.25,571924546.27,0.0,,,3920572758.38,,0.102056189363222,,0.138987880238543,,0.138987880238543,,0.127581673226188,,,0.184318874526858,,0.138987880238543,0.028987880238543,ATENCAO
