NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,AtivoTotal,Captacoes,CarteiraCreditoSimples,CarteiraCredito,LucroLiquido,PassivoTotal,PassivoExigivel,PatrimonioLiquido,TVM,Alavancagem,CoberturaCapt,CreditoSobreAtivo,ROE,CrescAtivo_QoQ,CrescAtivo_YoY,AtivoBase100,CrescPL_QoQ,CrescPL_YoY
Banco Daycoval,62232889,201903,2019-03-01,2019,1,2019Q1,28284556643.83,20813626719.8,,16822705019.85,215637993.91,24877390449.21,,3407166194.62,,8.301490161675124,0.7358654046408851,0.594766438508758,0.06328954374180448,,,100.0,,
Banco Daycoval,62232889,201906,2019-06-01,2019,2,2019Q2,29944505233.74,22271006594.47,,17740091476.32,378747578.31,26426506468.04,,3517998765.7,,8.511800949362113,0.7437426806897488,0.5924322789054245,0.10765995201667959,0.05868745304417211,,105.86874530441722,0.0325292529771537,
Banco Daycoval,62232889,201909,2019-09-01,2019,3,2019Q3,31016244721.34,22550079040.63,,19031941656.8,268316155.44,27279544720.09,,3736700001.25,,8.30043747450008,0.7270409181777879,0.6136120548373646,0.07180564544925816,0.035790856427055484,,109.65787836772012,0.06216637643034639,
Banco Daycoval,62232889,201912,2019-12-01,2019,4,2019Q4,34225839371.64,26285921895.82,,22379793387.2,641497906.51,30530680844.12,,3695158527.52,,9.262346694124275,0.7680139443884867,0.6538858885004937,0.17360497573578806,0.10348108480365825,,121.00539457847938,-0.011117155167956638,
Banco Daycoval,62232889,202003,2020-03-01,2020,1,2020Q1,37710950944.58,28754207490.01,,21228916362.71,395879803.93,33814265338.86,,3896685605.72,,9.677699142374628,0.7624895890922286,0.5629377098951444,0.10159398113845326,0.10182691314293413,0.33327000382048677,133.32700038204868,0.05453814138124535,0.14367347617881499
Banco Daycoval,62232889,202006,2020-06-01,2020,2,2020Q2,40027038553.33,30440268997.82,,21396773819.68,655063022.26,35906297274.39,,4120741278.94,,9.713552937161435,0.7604926594122852,0.5345580036147821,0.15896727746724865,0.06141684446392559,0.3367072937384685,141.51552402735473,0.057499037872366765,0.1713310758140838
Banco Daycoval,62232889,202009,2020-09-01,2020,3,2020Q3,43884575514.27,33638264649.85,,26137020074.7,288151745.67,39530402419.09,,4354173095.18,,10.078739304794638,0.7665168058629577,0.5955855734824413,0.0661782936440858,0.09637327917228777,0.41489003290189563,155.15383913165556,0.056648015596855616,0.1652455625882312
Banco Daycoval,62232889,202012,2020-12-01,2020,4,2020Q4,49345624566.91,38956535058.12,,31546747893.72,527552580.22,44919752118.66,,4425872448.25,,11.149355329121917,0.7894628024273367,0.6393018260604709,0.11919742070935539,0.12444119576510948,0.44176521227404764,174.46136840074624,0.016466812757023774,0.19774900461994993
Banco Daycoval,62232889,202103,2021-03-01,2021,1,2021Q1,51624167766.22,40604382538.68,,31197652099.29,436693017.0,46768508665.43,,4855659100.79,,10.631752908234624,0.7865382493439296,0.6043226157285196,0.08993485908616432,0.04617518208165383,0.3689436747985182,182.51715385286516,0.09710778102291195,0.24609978635749052
Banco Daycoval,62232889,202106,2021-06-01,2021,2,2021Q2,53079993198.74,41174038782.53,,33413351474.91,733337877.73,47926359120.34,,5153634078.4,,10.29952697286169,0.77569789107485,0.6294905003059261,0.14229529426692875,0.028200462990758624,0.3261034320093128,187.66422209527147,0.06136653571119122,0.2506570370575889
Banco Daycoval,62232889,202109,2021-09-01,2021,3,2021Q3,56852456543.06,44071231873.08,,34013397229.98,334716604.249999,51509614270.35,,5342842272.71,,10.640863727804424,0.7751860614800434,0.5982748907994553,0.06264766713396235,0.07107128537479834,0.29549974852948546,201.00175957844405,0.03671354842653907,0.22706244237842554
Banco Daycoval,62232889,202112,2021-12-01,2021,4,2021Q4,61091617355.64,48225690658.91,,38941800547.1,680860634.32,56110339776.16,,4981277579.48,,12.264246748123885,0.7893994748603229,0.6374327973738754,0.13668393769597473,0.07456425052397275,0.2380351427673808,215.9893051354105,-0.06767272451159356,0.12549054174609298
Banco Daycoval,62232889,202203,2022-03-01,2022,1,2022Q1,59770802147.78,46460820544.41,,34230636760.17,196134407.62,54654253418.93,,5116548728.85,,11.681859260082554,0.7773163296276031,0.5726982996737545,0.03833334108870753,-0.021620236376637125,0.15780659977807332,211.31956530355734,0.027155914765167877,0.05372898357249878
