NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,"Captações 
(e) = (a) + (b) + (c) + (d)","Conta de Pagamento Pré-Paga 
(a5)","Demais instrumentos de dívida 
(c5)","Depósito Total 
(a)","Depósitos 
(a)","Depósitos Interfinanceiros 
(a3)","Depósitos Outros 
(a6)","Depósitos a Prazo 
(a4)","Depósitos de Poupança 
(a2)","Depósitos à Vista 
(a1)","Instrumentos Derivativos 
(f)","Instrumentos de Dívida Elegíveis a Capital 
(h)","Letras Financeiras 
(c3)","Letras de Crédito Imobiliário 
(c1)","Letras de Crédito do Agronegócio 
(c2)","Obrigações por Empréstimos e Repasses 
(d)","Obrigações por Operações Compromissadas 
(b)","Obrigações por Títulos e Valores Mobiliários no Exterior 
(c4)","Outras Obrigações 
(g)","Outros Depósitos 
(a5)","Outros Instrumentos de Dívida 
(c)","Outros Recursos de Aceites e Emissão de Títulos 
(c5)","Passivo Circulante e Exigível a Longo Prazo 
(h) = (e) + (f) + (g)","Passivo Exigível 
(i) = (e) + (f) + (g) + (h)","Passivo Total 
(j) = (h) + (i)","Passivo Total 
(k) = (h) + (i) + (j)","Passivo Total 
(k) = (i) + (j)","Patrimônio Líquido 
(i)","Patrimônio Líquido 
(j)","Recursos de Aceites e Emissão de Títulos 
(c)","Resultados de Exercícios Futuros 
(i)"
Banco Daycoval,62232889,201903,2019-03-01,2019,1,2019Q1,20813626719.8,,,5448209263.05,,401550095.26,,4330367737.83,0.0,703788867.5,20792235.51,,10463031593.84,884624211.97,777916941.47,1353156737.42,1886687972.05,0.0,3995462291.74,12502562.46,,1.9073486328125e-06,24829881247.05,,,28284556643.83,,,3407166194.62,12125572747.28,47509202.16
Banco Daycoval,62232889,201906,2019-06-01,2019,2,2019Q2,22271006594.47,,,6290903096.14,,447505989.52,,5097902819.31,0.0,735784903.04,16666131.38,,10669097204.23,954007819.02,733884710.47,1397140108.43,2225973656.18,0.0,4098244298.75,9709384.27,,0.0,26385917024.6,,,29944505233.74,,,3517998765.7,12356989733.72,40589443.44
Banco Daycoval,62232889,201909,2019-09-01,2019,3,2019Q3,22550079040.63,,,6327800200.96,,195102058.02,,5327007595.28,0.0,791795126.38,11204253.71,,9984767237.6,944860628.5,745721377.68,1411841011.44,3135088584.45,0.0,4679749813.21,13895421.28,,0.0,27241033107.55,,,31016244721.34,,,3736700001.25,11675349243.78,38511612.54
Banco Daycoval,62232889,201912,2019-12-01,2019,4,2019Q4,26285921895.82,,,7751706499.28,,248366472.99,,6409274512.75,0.0,1077464172.81,100974692.33,,9588530673.44,845897179.4,783281605.09,3387015883.89,2517947352.6,1411542702.12,4108096600.17,16601340.73,,-9.5367431640625e-07,30494993188.32,,,34225839371.64,,,3695158527.52,12629252160.05,35687655.8
Banco Daycoval,62232889,202003,2020-03-01,2020,1,2020Q1,28754207490.01,,,8329776004.0,,718903635.24,,6711264068.05,0.0,890910963.83,120768976.62,,9073169891.44,821410574.04,728184948.08,3762748653.55,3690695460.12,2348221958.78,4907503388.63,8697336.88,,-1.43051147460938e-06,33782479855.26,,,37710950944.58,,,3896685605.72,12970987372.34,31785483.6
Banco Daycoval,62232889,202006,2020-06-01,2020,2,2020Q2,30440268997.82,0.0,,9233608709.85,,709574698.61,5514948.6,7425528351.08,0.0,1092990711.56,36256086.87,,11125415367.93,960711138.52,863960333.64,3977766460.84,1828932355.83,2449874631.21,5394311153.25,,,-9.5367431640625e-07,35870836237.94,,,40027038553.33,,,4120741278.94,15399961471.3,35461036.45
Banco Daycoval,62232889,202009,2020-09-01,2020,3,2020Q3,33638264649.85,0.0,,12346360091.84,,641889655.32,4980860.12,10319492296.75,0.0,1379997279.65,50851073.47,,9656654388.48,1009210225.39,917326376.13,4969090158.32,2135963757.85,2603659651.84,5775556673.99,,,1.9073486328125e-06,39464672397.31,,,43884575514.27,,,4354173095.18,14186850641.84,65730021.78
Banco Daycoval,62232889,202012,2020-12-01,2020,4,2020Q4,38956535058.12,0.0,,13991915921.81,,524880551.26,9385719.92,11795464595.46,0.0,1662185055.17,43816003.64,,13865309699.49,825215308.27,1364527628.26,4543936483.54,1951672308.91,2413957707.84,5842567169.88,,,0.0,44842918231.64,,,49345624566.91,,,4425872448.25,18469010343.86,76833887.02
Banco Daycoval,62232889,202103,2021-03-01,2021,1,2021Q1,40604382538.68,0.0,,13642724918.28,,694906815.47,6940147.23,11735055825.57,0.0,1205822130.01,71478360.2,,14250170264.07,1302682863.25,1270532756.45,5263846946.86,2241134780.74,2633290009.03,6018928083.75,,,-1.43051147460938e-06,46694788982.63,,,51624167766.22,,,4855659100.79,19456675892.8,73719682.8
Banco Daycoval,62232889,202106,2021-06-01,2021,2,2021Q2,41174038782.53,0.0,,13684971906.07,,218659998.62,23259250.78,12013175333.9,0.0,1429877322.77,383098403.68,,12299420810.01,1452454017.4,1901522669.1,6803037511.93,2704849881.66,2327781986.36,6303372588.31,,,-1.43051147460938e-06,47860509774.52,,,53079993198.74,,,5153634078.4,17981179482.87,65849345.82
