NomeBanco,AnoMes,AnoTri,DataRef,Target,PredicaoRisco,ProbRisco
Banco Daycoval,201906,2019Q2,2019-06-01,0,0,0.0
Banco Daycoval,201909,2019Q3,2019-09-01,0,0,0.0
Banco Daycoval,201912,2019Q4,2019-12-01,0,0,0.0
Banco Daycoval,202003,2020Q1,2020-03-01,0,0,0.0
Banco Daycoval,202006,2020Q2,2020-06-01,0,0,0.0
Banco Daycoval,202009,2020Q3,2020-09-01,0,0,0.0
Banco Daycoval,202012,2020Q4,2020-12-01,0,0,0.0
Banco Daycoval,202103,2021Q1,2021-03-01,0,0,0.0
Banco Daycoval,202106,2021Q2,2021-06-01,0,0,0.0
Banco Daycoval,202109,2021Q3,2021-09-01,0,0,0.0
Banco Daycoval,202112,2021Q4,2021-12-01,0,0,0.0
Banco Daycoval,202203,2022Q1,2022-03-01,0,0,0.0
Banco Daycoval,202206,2022Q2,2022-06-01,0,0,0.0
Banco Daycoval,202209,2022Q3,2022-09-01,0,0,0.0
Banco Daycoval,202212,2022Q4,2022-12-01,0,0,0.0
Banco Daycoval,202303,2023Q1,2023-03-01,0,0,0.0
Banco Daycoval,202306,2023Q2,2023-06-01,0,0,0.0
Banco Daycoval,202309,2023Q3,2023-09-01,0,0,0.0
Banco Daycoval,202312,2023Q4,2023-12-01,0,0,0.0
Banco Daycoval,202403,2024Q1,2024-03-01,0,0,0.0
Banco Daycoval,202406,2024Q2,2024-06-01,0,0,0.0
Banco Daycoval,202409,2024Q3,2024-09-01,0,0,0.0
Banco Daycoval,202412,2024Q4,2024-12-01,0,0,0.0
Banco Daycoval,202503,2025Q1,2025-03-01,0,0,0.0
Banco Daycoval,202506,2025Q2,2025-06-01,0,0,0.0
Banco Daycoval,202509,2025Q3,2025-09-01,0,0,0.0
Banco Inter,201906,2019Q2,2019-06-01,0,0,0.0
Banco Inter,201909,2019Q3,2019-09-01,0,0,0.0
Banco Inter,201912,2019Q4,2019-12-01,0,0,0.0
Banco Inter,202003,2020Q1,2020-03-01,0,0,0.0
Banco Inter,202006,2020Q2,2020-06-01,0,0,0.0
Banco Inter,202009,2020Q3,2020-09-01,0,0,0.0
Banco Inter,202012,2020Q4,2020-12-01,0,0,0.0
Banco Inter,202103,2021Q1,2021-03-01,0,0,0.0
Banco Inter,202106,2021Q2,2021-06-01,0,0,0.0
Banco Inter,202109,2021Q3,2021-09-01,0,0,0.0
Banco Inter,202112,2021Q4,2021-12-01,0,0,0.0
Banco Inter,202203,2022Q1,2022-03-01,0,0,0.0
Banco Inter,202206,2022Q2,2022-06-01,0,0,0.0
Banco Inter,202209,2022Q3,2022-09-01,0,0,0.0
Banco Inter,202212,2022Q4,2022-12-01,0,0,0.0
Banco Inter,202303,2023Q1,2023-03-01,0,0,0.0
Banco Inter,202306,2023Q2,2023-06-01,0,0,0.0
Banco Inter,202309,2023Q3,2023-09-01,0,0,0.0
Banco Inter,202312,2023Q4,2023-12-01,0,0,0.0
Banco Inter,202403,2024Q1,2024-03-01,0,0,0.0
Banco Inter,202406,2024Q2,2024-06-01,0,0,0.0
Banco Inter,202409,2024Q3,2024-09-01,0,0,0.0
Banco Inter,202412,2024Q4,2024-12-01,0,0,0.0
Banco Inter,202503,2025Q1,2025-03-01,0,0,0.0
Banco Inter,202506,2025Q2,2025-06-01,0,0,0.0
Banco Inter,202509,2025Q3,2025-09-01,0,0,0.0
Banco Master,201906,2019Q2,2019-06-01,1,1,0.9899707480150438
Banco Master,201909,2019Q3,2019-09-01,1,1,0.9899707480150438
Banco Master,201912,2019Q4,2019-12-01,1,1,0.9899707480150438
Banco Master,202003,2020Q1,2020-03-01,1,1,0.9899707480150438
Banco Master,202006,2020Q2,2020-06-01,1,1,0.9899707480150438
Banco Master,202009,2020Q3,2020-09-01,1,1,0.9899707480150438
Banco Master,202012,2020Q4,2020-12-01,1,1,0.9899707480150438
Banco Master,202103,2021Q1,2021-03-01,1,1,0.9899707480150438
Banco Master,202106,2021Q2,2021-06-01,1,1,0.9899707480150438
Banco Master,202109,2021Q3,2021-09-01,1,1,0.9899707480150438
Banco Master,202112,2021Q4,2021-12-01,1,1,0.9899707480150438
Banco Master,202203,2022Q1,2022-03-01,1,1,0.9899707480150438
Banco Master,202206,2022Q2,2022-06-01,1,1,0.9899707480150438
Banco Master,202209,2022Q3,2022-09-01,1,1,0.9899707480150438
Banco Master,202212,2022Q4,2022-12-01,1,1,0.9899707480150438
Banco Master,202303,2023Q1,2023-03-01,1,1,0.9899707480150438
Banco Master,202306,2023Q2,2023-06-01,1,1,0.9899707480150438
Banco Master,202309,2023Q3,2023-09-01,1,1,0.9899707480150438
Banco Master,202312,2023Q4,2023-12-01,1,1,0.9899707480150438
Banco Master,202403,2024Q1,2024-03-01,1,1,0.9899707480150438
Banco Master,202406,2024Q2,2024-06-01,1,1,0.9899707480150438
Banco Master,202409,2024Q3,2024-09-01,1,1,0.9899707480150438
Banco Master,202412,2024Q4,2024-12-01,1,1,0.9899707480150438
Banco Master,202503,2025Q1,2025-03-01,1,1,0.8110236220472441
Banco Original,201906,2019Q2,2019-06-01,0,0,0.0
Banco Original,201909,2019Q3,2019-09-01,0,0,0.0
Banco Original,201912,2019Q4,2019-12-01,0,0,0.0
Banco Original,202003,2020Q1,2020-03-01,0,0,0.0
Banco Original,202006,2020Q2,2020-06-01,0,0,0.0
Banco Original,202009,2020Q3,2020-09-01,0,0,0.0
Banco Original,202012,2020Q4,2020-12-01,0,0,0.0
Banco Original,202103,2021Q1,2021-03-01,0,0,0.0
Banco Original,202106,2021Q2,2021-06-01,0,0,0.0
Banco Original,202109,2021Q3,2021-09-01,0,0,0.0
Banco Original,202112,2021Q4,2021-12-01,0,0,0.0
Banco Original,202203,2022Q1,2022-03-01,0,0,0.0
Banco Original,202206,2022Q2,2022-06-01,0,0,0.0
Banco Original,202209,2022Q3,2022-09-01,0,0,0.0
Banco Original,202212,2022Q4,2022-12-01,0,0,0.0
Banco Original,202303,2023Q1,2023-03-01,0,0,0.0
Banco Original,202306,2023Q2,2023-06-01,0,0,0.0
Banco Original,202309,2023Q3,2023-09-01,0,0,0.0
Banco Original,202312,2023Q4,2023-12-01,0,0,0.0
Banco Original,202403,2024Q1,2024-03-01,0,0,0.0
Banco Original,202406,2024Q2,2024-06-01,0,0,0.0
Banco Original,202409,2024Q3,2024-09-01,0,0,0.0
Banco Original,202412,2024Q4,2024-12-01,0,1,0.9899707480150438
Banco Original,202503,2025Q1,2025-03-01,0,0,0.0
Banco Original,202506,2025Q2,2025-06-01,0,0,0.0
Banco Original,202509,2025Q3,2025-09-01,0,0,0.0
Banco Pine,201906,2019Q2,2019-06-01,0,0,0.0
Banco Pine,201909,2019Q3,2019-09-01,0,0,0.0
Banco Pine,201912,2019Q4,2019-12-01,0,0,0.0
Banco Pine,202003,2020Q1,2020-03-01,0,0,0.0
Banco Pine,202006,2020Q2,2020-06-01,0,0,0.0
Banco Pine,202009,2020Q3,2020-09-01,0,0,0.0
Banco Pine,202012,2020Q4,2020-12-01,0,0,0.0
Banco Pine,202103,2021Q1,2021-03-01,0,1,0.8110236220472441
Banco Pine,202106,2021Q2,2021-06-01,0,0,0.0
Banco Pine,202109,2021Q3,2021-09-01,0,0,0.0
Banco Pine,202112,2021Q4,2021-12-01,0,0,0.0
Banco Pine,202203,2022Q1,2022-03-01,0,0,0.0
Banco Pine,202206,2022Q2,2022-06-01,0,0,0.0
Banco Pine,202209,2022Q3,2022-09-01,0,0,0.0
Banco Pine,202212,2022Q4,2022-12-01,0,0,0.0
Banco Pine,202303,2023Q1,2023-03-01,0,0,0.0
Banco Pine,202306,2023Q2,2023-06-01,0,0,0.0
Banco Pine,202309,2023Q3,2023-09-01,0,0,0.0
Banco Pine,202312,2023Q4,2023-12-01,0,0,0.0
Banco Pine,202403,2024Q1,2024-03-01,0,0,0.0
Banco Pine,202406,2024Q2,2024-06-01,0,0,0.0
Banco Pine,202409,2024Q3,2024-09-01,0,0,0.0
Banco Pine,202412,2024Q4,2024-12-01,0,0,0.0
Banco Pine,202503,2025Q1,2025-03-01,0,0,0.0
Banco Pine,202509,2025Q3,2025-09-01,0,0,0.0
