NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,Ativo Total,Captações,Carteira de Crédito,Carteira de Crédito Classificada,Lucro Líquido,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,Passivo Exigível,Patrimônio Líquido,Títulos e Valores Mobiliários
Banco Daycoval,62232889,201903,2019-03-01,2019,1,2019Q1,28284556643.83,20813626719.8,,16822705019.85,215637993.91,24877390449.21,,3407166194.62,
Banco Daycoval,62232889,201906,2019-06-01,2019,2,2019Q2,29944505233.74,22271006594.47,,17740091476.32,378747578.31,26426506468.04,,3517998765.7,
Banco Daycoval,62232889,201909,2019-09-01,2019,3,2019Q3,31016244721.34,22550079040.63,,19031941656.8,268316155.44,27279544720.09,,3736700001.25,
Banco Daycoval,62232889,201912,2019-12-01,2019,4,2019Q4,34225839371.64,26285921895.82,,22379793387.2,641497906.51,30530680844.12,,3695158527.52,
Banco Daycoval,62232889,202003,2020-03-01,2020,1,2020Q1,37710950944.58,28754207490.01,,21228916362.71,395879803.93,33814265338.86,,3896685605.72,
Banco Daycoval,62232889,202006,2020-06-01,2020,2,2020Q2,40027038553.33,30440268997.82,,21396773819.68,655063022.26,35906297274.39,,4120741278.94,
Banco Daycoval,62232889,202009,2020-09-01,2020,3,2020Q3,43884575514.27,33638264649.85,,26137020074.7,288151745.67,39530402419.09,,4354173095.18,
Banco Daycoval,62232889,202012,2020-12-01,2020,4,2020Q4,49345624566.91,38956535058.12,,31546747893.72,527552580.22,44919752118.66,,4425872448.25,
Banco Daycoval,62232889,202103,2021-03-01,2021,1,2021Q1,51624167766.22,40604382538.68,,31197652099.29,436693017.0,46768508665.43,,4855659100.79,
Banco Daycoval,62232889,202106,2021-06-01,2021,2,2021Q2,53079993198.74,41174038782.53,,33413351474.91,733337877.73,47926359120.34,,5153634078.4,
Banco Daycoval,62232889,202109,2021-09-01,2021,3,2021Q3,56852456543.06,44071231873.08,,34013397229.98,334716604.249999,51509614270.35,,5342842272.71,
Banco Daycoval,62232889,202112,2021-12-01,2021,4,2021Q4,61091617355.64,48225690658.91,,38941800547.1,680860634.32,56110339776.16,,4981277579.48,
Banco Daycoval,62232889,202203,2022-03-01,2022,1,2022Q1,59770802147.78,46460820544.41,,34230636760.17,196134407.62,54654253418.93,,5116548728.85,
Banco Daycoval,62232889,202206,2022-06-01,2022,2,2022Q2,63464216563.58,49404044762.51,,38164447602.53,468068274.980001,58189511826.57,,5274704737.01,
Banco Daycoval,62232889,202209,2022-09-01,2022,3,2022Q3,65360208047.67,52185751143.97,,40044738478.59,256832715.96,59912963876.61,,5447244171.06,
Banco Daycoval,62232889,202212,2022-12-01,2022,4,2022Q4,67371937149.6,54017450979.31,,43514079296.76,634858294.599999,61633478421.07,,5738458728.53,
Banco Daycoval,62232889,202303,2023-03-01,2023,1,2023Q1,64441146404.82,51618606121.55,,41024722313.09,231041412.62,58580019272.05,,5861127132.77,
Banco Daycoval,62232889,202306,2023-06-01,2023,2,2023Q2,69678097569.52,54991601700.33,,39224421617.65,458862511.01,63691469919.85,,5986627649.67,
Banco Daycoval,62232889,202309,2023-09-01,2023,3,2023Q3,69762921348.01,56191886991.46,,39729212238.32,320708779.6,63558017880.82,,6204903467.19,
Banco Daycoval,62232889,202312,2023-12-01,2023,4,2023Q4,74148005946.51,60026280010.56,,43016677463.07,643066176.81,68011626237.42,,6136379709.09,
Banco Daycoval,62232889,202403,2024-03-01,2024,1,2024Q1,71962017448.97,60624495726.93,,41043688907.47,367968194.33,65558192483.96,,6403824965.01,
